stock,name,ticker,country,base_quarter,forecast_quarter,current_weight,predicted_change_%,predicted_weight,actual_weight,model,error,naive_error,low,high
CNE000000W05,China CSSC Holdings Ltd Class A,600150,CHN,Dec-22,Dec-23,0.016383663640172987,-10.132953802245408,0.015499879683321737,0.01982791706933817,ridge_a0.1,-0.004328037386016434,-0.003444253429165184,0.009567746024490079,0.028434286412798004
CNE100000HP8,Guangdong Haid Group Co Ltd Class A,002311,CHN,Dec-22,Dec-23,0.016363585621006104,-8.470726564482112,0.015767227161418932,0.011503381377492709,ridge_a0.1,0.004263845783926223,0.004860204243513395,0.010027981734527654,0.026909258045870656
CNE1000017G1,Power Construction Corporation of China Ltd Class A,601669,CHN,Dec-22,Dec-23,0.016142727410170442,-8.988405554516959,0.015466443970528113,0.011439591831961327,ridge_a0.1,0.004026852138566786,0.004703135578209115,0.009705805575738408,0.028976973436910147
CNE100002375,Flat Glass Group Co Ltd Shs -H- Reg S,06865,CHN,Dec-22,Dec-23,0.01611261038142012,-10.563019445780686,0.015170499161269764,0.010706012058350424,ridge_a0.1,0.004464487102919339,0.005406598323069696,0.009525187422679172,0.026382425288253557
KR7263750002,PearlAbyss Corp,263750,KOR,Dec-22,Dec-23,0.016082493352669806,-11.015554851952023,0.015065526504749531,0.014650332290374265,ridge_a0.1,0.0004151942143752665,0.0014321610622955415,0.009313273211916256,0.027006351102035735
CNE0000008X7,Yunnan Baiyao Group Co Ltd Class A,000538,CHN,Dec-22,Dec-23,0.016072454343086365,-12.189376345258712,0.014857512313600166,0.014575911153920984,ridge_a0.1,0.00028160115967918245,0.0014965431891653808,0.00916618522490539,0.026402683992405834
CNE000001NG4,Daqin Railway Co Ltd Class A,601006,CHN,Dec-22,Dec-23,0.01603229830475261,0.0,0.01687767506520689,0.016542755474471954,naive (no feature history),0.00033491959073493616,-0.0005104571697193451,0.010706915874177766,0.030264677861983693
ID1000136708,PT Bank Jago Tbk Ordinary Shares,ARTO,IDN,Dec-22,Dec-23,0.01601222028558573,0.0,0.016856538340015645,0.0,naive (no feature history),0.016856538340015645,0.01601222028558573,0.010182611780303196,0.028550577274679582
CNE000000CK1,Haitong Securities Co Ltd Class A,600837,CHN,Dec-22,Dec-23,0.01601222028558573,-11.825303463001967,0.01486320152795152,0.013459594107121782,ridge_a0.1,0.0014036074208297385,0.0025526261784639473,0.008994826526239596,0.02659576838406947
CNE000001FG0,China Southern Airlines Co Ltd Class A,600029,CHN,Dec-22,Dec-23,0.01588171316100102,-7.785840264452681,0.015417423342796154,0.011567170923024093,ridge_a0.1,0.003850252419772061,0.004314542237976927,0.0096774583779034,0.02814239241822179
